"","Var1","Freq"
"1","200",3
"2","204",2401
"3","209",4
"4","213",2
"5","214",188
"6","215",169
"7","216",4
"8","217",13
"9","218",2
"10","219",1792
"11","220",110
"12","222",1
"13","229",5
"14","230",4
"15","231",3
"16","233",2
"17","234",2
"18","239",1
"19","246",2
"20","249",2
"21","254",3
"22","255",1
"23","258",1
"24","260",3
"25","262",1
"26","263",28
"27","264",5905
"28","265",110
"29","266",14
"30","267",25
"31","268",6
"32","269",3
"33","270",11
"34","271",4
"35","272",1
"36","273",3
"37","274",4
"38","277",12
"39","278",19
"40","279",2626
"41","280",83
"42","284",1
"43","285",1
"44","286",6
"45","287",8
"46","289",2
"47","290",12
"48","291",17
"49","292",14
"50","293",33
"51","294",98
"52","295",13362
"53","296",121081
"54","297",3040
"55","298",70
"56","299",30
"57","300",19
"58","301",5
"59","302",1
"60","303",7
"61","312",1
"62","315",3
"63","322",2
"64","324",3
"65","327",1
"66","328",2
"67","329",3
"68","330",11
"69","331",100
"70","332",200
"71","334",1
"72","336",7
"73","337",273
"74","338",636
"75","339",27
"76","340",3
"77","343",2
"78","378",3
